Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C5",C_Disc_D3.0mm_W1.6mm_P2.50mm,3,0.1u,
"C2, C3",C_Disc_D3.0mm_W1.6mm_P2.50mm,2,22p,
D1,OSL40391-LRA,1,OSL40391-LRA,
J1,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Counter_Clockwise,
J2,BarrelJack_Horizontal,1,Barrel_Jack_Switch,
LS1,Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,1,Speaker,
"Q1, Q2, Q3, Q4, Q5",TO-92_Inline,5,2SC1815,
"R1, R2, R3, R4, R5, R6, R7, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,8,330,
"R10, R11, R12, R26, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,5,10k,
"R13, R14, R15, R16, R27",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,5,3.9k,
"R17, R18, R19, R20, R21, R22, R23, R24, R25",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,9,1k,
"SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW_PUSH_6mm_H5mm,8,SW_Push,
U1,DIP-20_W7.62mm,1,ATtiny2313-20P,
U2,DIP-16_W7.62mm,1,74HC595,
U3,DIP-16_W7.62mm,1,74HC165,
Y1,Crystal_HC18-U_Vertical,1,16 MHz,
