Designator,Mid X,Mid Y,Rotation,Layer
C1,-5.08,3.135,270.0,top
C2,-27.94,-22.185,90.0,top
C3,-27.94,-12.057,270.0,top
C4,38.1,-12.065,180.0,top
C5,-33.02,-1.905,270.0,top
D1,19.05,15.875,0.0,top
J1,-40.64,-4.445,0.0,top
J2,-31.75,-17.145,0.0,top
LS1,-38.1,3.2765,90.0,top
Q1,-27.94,3.175,90.0,top
Q2,-38.1,15.875,90.0,top
Q3,-27.94,15.875,90.0,top
Q4,-17.78,15.875,90.0,top
Q5,-7.62,15.875,90.0,top
R1,20.32,0.635,90.0,top
R10,-33.02,13.335,90.0,top
R11,-22.86,13.335,90.0,top
R12,-12.7,13.335,90.0,top
R13,-17.78,8.255,270.0,top
R14,-15.24,8.255,270.0,top
R15,-12.7,8.255,270.0,top
R16,-7.62,8.255,270.0,top
R17,10.16,5.6794,0.0,top
R18,7.62,8.2194,0.0,top
R19,5.08,8.2194,180.0,top
R2,38.1,0.635,90.0,top
R20,-20.26,0.635,90.0,top
R21,2.54,5.715,180.0,top
R22,2.54,-6.985,180.0,top
R23,5.08,-9.5606,180.0,top
R24,7.62,-9.5606,0.0,top
R25,10.16,-7.0206,0.0,top
R26,-2.54,13.335,90.0,top
R27,-10.16,8.255,270.0,top
R3,35.56,0.635,90.0,top
R4,33.02,0.635,90.0,top
R5,30.48,0.635,90.0,top
R6,27.94,0.635,90.0,top
R7,25.4,0.635,90.0,top
R8,22.86,0.635,90.0,top
R9,-22.86,0.635,90.0,top
SW2,33.6,-21.105,90.0,top
SW3,25.98,-21.105,90.0,top
SW4,-12.12,-21.105,90.0,top
SW5,-19.74,-21.105,90.0,top
SW6,-4.5,-21.105,90.0,top
SW7,3.12,-21.105,90.0,top
SW8,10.74,-21.105,90.0,top
SW9,18.36,-21.105,90.0,top
U1,-30.475,-9.515,90.0,top
U2,38.1,-1.905,270.0,top
U3,-2.525,-4.435,90.0,top
Y1,-24.13,-19.505,90.0,top
